用例名称,goodsId,number,productId,productIds,isChecked,cartId,addressId,couponId,userCouponId,grouponRulesId,预期响应状态码,errno,data,errmsg
获取购物车商品数量-已登录,,,,,,0,0,0,0,0,200,0,购物车商品数量,成功
获取购物车商品数量-未登录,,,,,,0,0,0,0,0,4xx,!=0,,未登录
加入购物车-正确商品信息,1181000,5,2,,,0,0,0,0,0,200,0,商品数量,成功
加入购物车-未登录,1181000,5,2,,,0,0,0,0,0,4xx,!=0,,未登录
加入购物车-goodsId为空,,5,2,,,0,0,0,0,0,4xx,!=0,,商品ID不能为空
加入购物车-number为空,1181000,,2,,,0,0,0,0,0,4xx,!=0,,购买数量不能为空
加入购物车-productId为空,1181000,5,,,0,0,0,0,0,4xx,!=0,,产品ID不能为空
加入购物车-number为0,1181000,0,2,,,0,0,0,0,0,4xx,!=0,,购买数量必须大于0
加入购物车-number为负数,1181000,-5,2,,,0,0,0,0,0,4xx,!=0,,购买数量必须大于0
查看购物车-已登录,,,,,,0,0,0,0,0,200,0,购物车列表和总计信息,成功
查看购物车-未登录,,,,,,0,0,0,0,0,4xx,!=0,,未登录
查看购物车-购物车为空,,,,,,0,0,0,0,0,200,0,空购物车列表,成功
选中商品-正确productIds,,,[232,31],1,0,0,0,0,0,200,0,更新后的购物车信息,成功
选中商品-未登录,,,[232,31],1,0,0,0,0,0,4xx,!=0,,未登录
选中商品-productIds为空,,,[],1,0,0,0,0,0,4xx,!=0,,产品ID列表不能为空
选中商品-isChecked为0,,,[232,31],0,0,0,0,0,0,200,0,更新后的购物车信息,成功
结算商品-已登录,,,,,,0,0,0,0,0,200,0,结算信息,成功
结算商品-未登录,,,,,,0,0,0,0,0,4xx,!=0,,未登录
结算商品-购物车为空,,,,,,0,0,0,0,0,4xx,!=0,,购物车为空